,A,AH,B,BC,C,D,DH,E,EG,F,G,H
10.0,750,1485,756,1506,750,739,1474,511,1015,525,504,735
25.0,750,1485,756,1506,750,739,1474,511,1015,525,504,735
38.0,750,1485,756,1506,750,739,1474,511,1015,525,504,735
